pdf,page,index,source,side_pt,native_width,native_height,trimmed,detector_score,texture,x0,y0,x1,y1
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,577,0,embedded,153.6,1280,1256,True,1.0,0.8288,242.89,87.36,396.49,238.08
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,589,0,embedded,152.64,1272,1264,True,1.0,0.8286,46.09,270.71,198.73,422.39
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,589,1,embedded,153.6,1280,1256,True,1.0,0.8814,245.76,442.56,399.36,593.28
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,594,0,embedded,153.6,1280,1264,True,1.0,0.8718,41.28,48.95,194.88,200.63
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,594,1,embedded,153.6,1280,1256,True,1.0,0.889,242.89,335.03,396.49,485.75
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,600,0,embedded,154.56,1288,1256,True,1.0,0.8529,241.93,242.87,396.49,393.59
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,606,0,embedded,152.64,1272,1256,True,1.0,0.8495,42.25,423.35,194.89,574.07
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,606,1,embedded,154.56,1288,1264,True,1.0,0.8635,241.93,361.92,396.49,513.6
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,612,0,embedded,153.6,1280,1264,True,1.0,0.8574,42.25,383.04,195.85,534.72
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,618,0,embedded,152.64,1272,1256,True,1.0,0.7951,42.25,330.23,194.89,480.95
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,624,0,embedded,153.6,1280,1264,True,1.0,0.7302,43.21,422.39,196.81,574.07
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,630,0,embedded,153.6,1280,1256,True,1.0,0.8176,42.25,203.52,195.85,354.24
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,636,0,embedded,154.56,1288,1256,True,1.0,0.8389,242.89,48.96,397.45,199.68
Secrets of Chess Training School of Future Champions 1_ao_5.pdf,647,0,embedded,167.04,1272,1392,True,0.9345,0.8109,44.17,35.51,196.81,202.55
